name,state,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,A1,A2,A3,B1,B2,B3
GENE-14771,NO,47.9,49.4,46.4,0.941,-0.1,0.32,-0.28,7.8e-01,1.0e+00,0.9998,4600,41.6,58.7,47.8,46.5,47.3,45.5
GENE-14772,NO,510.2,492.3,528,1.072,0.1,0.25,0.41,6.8e-01,1.0e+00,0.9998,4601,394.3,540.5,542.2,496.7,634.1,453.3
GENE-14776,NO,1063.6,1064.8,1062.3,0.998,0,0.22,-0.02,9.9e-01,1.0e+00,0.9998,4602,1148.2,1207.5,838.7,981.5,1076.2,1129.3
GENE-14778,NO,137.4,139.1,135.7,0.976,0,0.4,-0.09,9.3e-01,1.0e+00,0.9998,4603,150.6,71.7,195,129.6,107.3,170.2
GENE-14786,NO,87,87.8,86.3,0.983,0,0.25,-0.1,9.2e-01,1.0e+00,0.9998,4604,90.2,90.6,82.6,87.1,91.6,80.2
GENE-14788,NO,20.2,23.5,16.8,0.714,-0.5,0.51,-0.95,3.4e-01,1.0e+00,0.9998,4605,16.8,27.9,25.9,9.9,24.6,15.8
GENE-14790,NO,1.3,1.7,1,0.597,-0.7,1.8,-0.41,6.8e-01,1.0e+00,0.9998,4606,2,0,3,2,1,0
GENE-14793,NO,24.8,26.5,23.1,0.87,-0.2,0.42,-0.48,6.3e-01,1.0e+00,0.9998,4607,30.7,28.9,19.9,21.8,20.7,26.7
GENE-14799,NO,4.1,4.3,4,0.918,-0.1,0.99,-0.12,9.0e-01,1.0e+00,0.9998,4608,4,3,6,4,1,6.9
GENE-14800,NO,3,2.7,3.3,1.244,0.3,1.09,0.29,7.7e-01,1.0e+00,0.9998,4609,5,2,1,4,3,3
GENE-14803,NO,36.3,36.1,36.6,1.013,0,0.44,0.04,9.7e-01,1.0e+00,0.9998,4610,54.5,21.9,31.8,38.6,41.4,29.7
GENE-14807,NO,561.1,558.5,563.8,1.009,0,0.2,0.07,9.5e-01,1.0e+00,0.9998,4611,523.1,514.7,637.8,505.6,578,607.7
GENE-14820,NO,8.6,8.6,8.6,0.994,0,0.7,-0.01,9.9e-01,1.0e+00,0.9998,4612,5.9,12.9,7,12.9,4.9,7.9
GENE-14823,NO,20,19.9,20.1,1.011,0,0.44,0.04,9.7e-01,1.0e+00,0.9998,4613,20.8,20.9,17.9,19.8,22.6,17.8
GENE-14835,NO,13,10.6,15.5,1.461,0.5,0.66,0.83,4.1e-01,1.0e+00,0.9998,4614,6.9,12.9,11.9,9.9,8.9,27.7
GENE-14838,NO,96.3,89.8,102.7,1.144,0.2,0.36,0.54,5.9e-01,1.0e+00,0.9998,4615,71.3,86.6,111.4,139.5,102.4,66.3
GENE-14841,NO,438.7,404.8,472.6,1.168,0.2,0.2,1.11,2.7e-01,1.0e+00,0.9998,4616,381.4,420.1,412.9,542.2,429.3,446.4
GENE-14844,NO,387.2,388.7,385.7,0.992,0,0.32,-0.03,9.7e-01,1.0e+00,0.9998,4617,322,559.4,284.6,473,327.9,356.3
GENE-14851,NO,839.4,806.7,872.2,1.081,0.1,0.22,0.51,6.1e-01,1.0e+00,0.9998,4618,735.1,832.2,852.7,771.8,781.8,1063
GENE-14865,NO,135.4,120.2,150.5,1.252,0.3,0.28,1.15,2.5e-01,1.0e+00,0.9998,4619,127.8,94.6,138.3,184,139.8,127.7
GENE-14868,NO,13217.3,13550.7,12884,0.951,-0.1,0.2,-0.36,7.2e-01,1.0e+00,0.9998,4620,14822.8,12683.1,13146.2,10766.3,13380.2,14505.5
GENE-14871,NO,3.5,4.7,2.3,0.497,-1,1.12,-0.91,3.7e-01,1.0e+00,0.9998,4621,1,4,9,2,2,3
GENE-14874,NO,454,442.2,465.8,1.053,0.1,0.29,0.26,8.0e-01,1.0e+00,0.9998,4622,404.2,475.8,446.7,538.3,561.2,297.9
GENE-14879,NO,24.8,21.9,27.7,1.265,0.3,0.4,0.84,4.0e-01,1.0e+00,0.9998,4623,20.8,21.9,22.9,22.8,29.5,30.7
GENE-14881,NO,6.6,4.7,8.6,1.845,0.9,0.81,1.09,2.8e-01,1.0e+00,0.9998,4624,1,6,7,7.9,7.9,9.9
GENE-14883,NO,61.1,67.3,55,0.818,-0.3,0.43,-0.67,5.0e-01,1.0e+00,0.9998,4625,57.5,103.5,40.8,73.2,40.4,51.5
GENE-14888,NO,38,40.7,35.2,0.865,-0.2,0.34,-0.61,5.4e-01,1.0e+00,0.9998,4626,43.6,39.8,38.8,28.7,39.4,37.6
GENE-14889,NO,5.5,6,4.9,0.828,-0.3,0.8,-0.34,7.3e-01,1.0e+00,0.9998,4627,4,8,6,4.9,3.9,5.9
GENE-14892,NO,25.1,24.2,26,1.076,0.1,0.4,0.26,7.9e-01,1.0e+00,0.9998,4628,25.8,21.9,24.9,30.7,21.7,25.7
GENE-14897,NO,461.6,428.2,495,1.156,0.2,0.22,0.95,3.4e-01,1.0e+00,0.9998,4629,443.8,417.1,423.8,600.6,452.9,431.5
GENE-14898,NO,1.5,1.7,1.3,0.795,-0.3,1.57,-0.21,8.3e-01,1.0e+00,0.9998,4630,1,2,2,3,1,0
GENE-14903,NO,34.2,34.2,34.2,1.002,0,0.57,0.01,1.0e+00,1.0e+00,0.9998,4631,14.9,60.7,26.9,23.7,51.2,27.7
GENE-14904,NO,474.9,465.9,483.8,1.038,0.1,0.3,0.18,8.6e-01,1.0e+00,0.9998,4632,531,416.1,450.7,334.4,660.7,456.3
GENE-14912,NO,275.6,284.9,266.4,0.935,-0.1,0.2,-0.48,6.3e-01,1.0e+00,0.9998,4633,285.3,303.6,265.7,247.4,286.5,265.2
GENE-14913,NO,2.6,2.7,2.7,0.994,0,1.17,-0.01,9.9e-01,1.0e+00,0.9998,4634,3,1,4,1,3,4
GENE-14920,NO,13.2,16.6,9.9,0.596,-0.7,0.54,-1.37,1.7e-01,1.0e+00,0.9998,4635,13.9,21.9,13.9,9.9,8.9,10.9
GENE-14921,NO,33.4,19.9,47,2.369,1.2,0.77,1.61,1.1e-01,1.0e+00,0.9998,4636,30.7,2,26.9,47.5,75.8,17.8
GENE-14925,NO,2.1,2,2.3,1.159,0.2,1.4,0.15,8.8e-01,1.0e+00,0.9998,4637,1,5,0,2,2,3
GENE-14929,NO,18.8,18.9,18.7,0.993,0,0.53,-0.02,9.9e-01,1.0e+00,0.9998,4638,17.8,14.9,23.9,11.9,29.5,14.8
GENE-14938,NO,99.7,91.4,108,1.182,0.2,0.27,0.89,3.8e-01,1.0e+00,0.9998,4639,106,87.6,80.6,91,110.3,122.7
GENE-14939,NO,89.4,100.7,78.1,0.775,-0.4,0.33,-1.11,2.7e-01,1.0e+00,0.9998,4640,111,113.5,77.6,74.2,57.1,102.9
GENE-14941,NO,7.9,9,6.9,0.773,-0.4,0.68,-0.54,5.9e-01,1.0e+00,0.9998,4641,7.9,11,8,4,7.9,8.9
GENE-14945,NO,13.4,11.6,15.1,1.307,0.4,0.53,0.72,4.7e-01,1.0e+00,0.9998,4642,13.9,8,12.9,16.8,13.8,14.8
GENE-14951,NO,122.2,117.3,127.1,1.084,0.1,0.42,0.28,7.8e-01,1.0e+00,0.9998,4643,100.1,138.4,113.4,56.4,153.6,171.2
GENE-14970,NO,14,11.9,16.1,1.353,0.4,0.51,0.86,3.9e-01,1.0e+00,0.9998,4644,11.9,12.9,10.9,13.9,16.7,17.8
GENE-14971,NO,1050.8,1089.2,1012.5,0.93,-0.1,0.2,-0.54,5.9e-01,1.0e+00,0.9998,4645,998.6,1102,1167.1,871.7,1117.6,1048.1
GENE-14973,NO,125.3,126.9,123.8,0.976,0,0.29,-0.12,9.0e-01,1.0e+00,0.9998,4646,135.7,118.5,126.4,124.7,156.6,90.1
GENE-14975,NO,148.5,130.5,166.6,1.276,0.4,0.25,1.41,1.6e-01,1.0e+00,0.9998,4647,130.8,140.4,120.4,140.5,197.9,161.3
GENE-14978,NO,54.5,48.7,60.2,1.237,0.3,0.32,0.96,3.4e-01,1.0e+00,0.9998,4648,50.5,56.7,38.8,58.4,68.9,53.4
GENE-14979,NO,28.4,22.2,34.6,1.558,0.6,0.43,1.49,1.4e-01,1.0e+00,0.9998,4649,17.8,20.9,27.9,37.6,23.6,42.6
GENE-14982,NO,222.2,194,250.3,1.29,0.4,0.29,1.25,2.1e-01,1.0e+00,0.9998,4650,266.5,156.3,159.2,284,222.5,244.5
GENE-14985,NO,13.4,13.9,12.8,0.923,-0.1,0.58,-0.2,8.4e-01,1.0e+00,0.9998,4651,18.8,9,13.9,10.9,18.7,8.9
GENE-14989,NO,894.9,844,945.8,1.121,0.2,0.24,0.68,4.9e-01,1.0e+00,0.9998,4652,788.6,742.6,1000.9,765.8,1112.6,959.1
GENE-14991,NO,26.9,27.2,26.7,0.982,0,0.39,-0.07,9.5e-01,1.0e+00,0.9998,4653,25.8,29.9,25.9,22.8,27.6,29.7
GENE-14995,NO,15.2,15.2,15.2,0.994,0,0.55,-0.02,9.9e-01,1.0e+00,0.9998,4654,9.9,19.9,15.9,21.8,10.8,12.9
GENE-15005,NO,19.8,17.6,22.1,1.257,0.3,0.57,0.58,5.6e-01,1.0e+00,0.9998,4655,14.9,11.9,25.9,35.6,11.8,18.8
GENE-15011,NO,116.9,123.5,110.4,0.893,-0.2,0.3,-0.54,5.9e-01,1.0e+00,0.9998,4656,141.7,137.4,91.5,134.6,88.6,107.9
GENE-15017,NO,32.2,32.8,31.6,0.964,-0.1,0.39,-0.14,8.9e-01,1.0e+00,0.9998,4657,27.7,28.9,41.8,32.7,25.6,36.6
GENE-15018,NO,3.8,5,2.7,0.53,-0.9,0.97,-0.95,3.4e-01,1.0e+00,0.9998,4658,5,7,3,3,2,3
GENE-15019,NO,268.9,315.2,222.5,0.706,-0.5,0.49,-1.03,3.0e-01,1.0e+00,0.9998,4659,339.8,100.5,505.4,222.6,257,188
GENE-15032,NO,2.6,2.3,3,1.279,0.4,1.14,0.31,7.6e-01,1.0e+00,0.9998,4660,4,1,2,2,3,4
GENE-15034,NO,277.2,299.2,255.2,0.853,-0.2,0.22,-1.04,3.0e-01,1.0e+00,0.9998,4661,268.5,333.5,295.5,283,259.9,222.7
GENE-15037,NO,258.3,221.6,295.1,1.332,0.4,0.43,0.96,3.4e-01,1.0e+00,0.9998,4662,255.6,270.8,138.3,204.8,488.4,192
GENE-15040,NO,516.8,504.1,529.4,1.05,0.1,0.28,0.25,8.0e-01,1.0e+00,0.9998,4663,520.1,648,344.3,501.7,597.7,488.9
GENE-15043,NO,659,739.3,578.6,0.783,-0.4,0.27,-1.33,1.9e-01,1.0e+00,0.9998,4664,704.4,694.8,818.8,749,566.2,420.6
GENE-15044,NO,95.9,89.4,102.4,1.145,0.2,0.26,0.75,4.5e-01,1.0e+00,0.9998,4665,80.2,92.6,95.5,91,117.2,99
GENE-15047,NO,1284,1241.2,1326.8,1.069,0.1,0.19,0.5,6.2e-01,1.0e+00,0.9998,4666,1161.1,1244.3,1318.3,1471.3,1147.1,1361.9
GENE-15052,NO,4.5,6,3,0.497,-1,1,-1.01,3.1e-01,1.0e+00,0.9998,4667,5.9,9,3,1,5.9,2
GENE-15056,NO,365.3,346.2,384.3,1.11,0.2,0.25,0.61,5.4e-01,1.0e+00,0.9998,4668,324,426.1,288.5,443.3,370.2,339.5
GENE-15057,NO,80.4,75.8,84.9,1.12,0.2,0.29,0.56,5.8e-01,1.0e+00,0.9998,4669,71.3,83.6,72.6,64.3,93.5,97
GENE-15062,NO,70.5,67.6,73.4,1.087,0.1,0.28,0.42,6.7e-01,1.0e+00,0.9998,4670,63.4,63.7,75.6,63.3,73.8,83.1
GENE-15063,NO,1246,1329.4,1162.6,0.875,-0.2,0.19,-1.03,3.0e-01,1.0e+00,0.9998,4671,1437.5,1396.6,1154.1,1197.2,1093.9,1196.6
GENE-15064,NO,2.1,1.3,3,2.239,1.2,1.34,0.87,3.8e-01,1.0e+00,0.9998,4672,2,2,0,4,2,3
GENE-15069,NO,2500.5,2487.6,2513.5,1.01,0,0.2,0.08,9.4e-01,1.0e+00,0.9998,4673,2502.5,2659.9,2300.3,2902.1,2170.1,2468.4
GENE-15070,NO,26.7,24.5,29,1.182,0.2,0.39,0.62,5.3e-01,1.0e+00,0.9998,4674,23.8,23.9,25.9,24.7,30.5,31.7
GENE-15072,NO,25.9,25.5,26.4,1.033,0,0.41,0.12,9.1e-01,1.0e+00,0.9998,4675,23.8,25.9,26.9,22.8,22.6,33.7
GENE-15076,NO,3.5,5.3,1.7,0.311,-1.7,1.12,-1.51,1.3e-01,1.0e+00,0.9998,4676,5.9,6,4,0,3,2
GENE-15078,NO,290.8,296.2,285.5,0.964,-0.1,0.22,-0.25,8.1e-01,1.0e+00,0.9998,4677,259.6,342.4,286.5,283,304.3,269.2
GENE-15081,NO,48.7,44,53.3,1.21,0.3,0.36,0.76,4.5e-01,1.0e+00,0.9998,4678,37.6,55.7,38.8,58.4,63,38.6
GENE-15096,NO,241.5,262.7,220.4,0.839,-0.3,0.26,-0.97,3.3e-01,1.0e+00,0.9998,4679,265.5,303.6,218.9,234.5,171.3,255.4
GENE-15097,NO,137.4,135.5,139.3,1.028,0,0.28,0.14,8.9e-01,1.0e+00,0.9998,4680,116.9,149.3,140.3,104.9,146.7,166.3
GENE-15098,NO,943.1,1033.8,852.5,0.825,-0.3,0.17,-1.6,1.1e-01,1.0e+00,0.9998,4681,1015.5,1085,1000.9,832.1,923.6,801.7
GENE-15101,NO,137.2,122.9,151.5,1.232,0.3,0.31,0.96,3.4e-01,1.0e+00,0.9998,4682,91.1,138.4,139.3,192.9,147.7,113.8
GENE-15102,NO,3169.6,3202.2,3137,0.98,0,0.33,-0.09,9.3e-01,1.0e+00,0.9998,4683,4346.2,2028.7,3231.6,3410.7,3707.1,2293.2
GENE-15104,NO,474.9,483.9,465.9,0.963,-0.1,0.19,-0.29,7.7e-01,1.0e+00,0.9998,4684,478.5,462.9,510.4,421.5,491.3,485
GENE-15106,NO,43.1,45.1,41.1,0.913,-0.1,0.34,-0.38,7.0e-01,1.0e+00,0.9998,4685,37.6,50.8,46.8,35.6,49.2,38.6
GENE-15117,NO,4.1,4.3,4,0.918,-0.1,0.92,-0.13,8.9e-01,1.0e+00,0.9998,4686,6.9,3,3,3,4.9,4
GENE-15119,NO,1.3,1.3,1.3,0.994,0,1.62,-0.01,1.0e+00,1.0e+00,0.9998,4687,2,2,0,1,2,1
GENE-15125,NO,97.5,115,80,0.696,-0.5,0.39,-1.33,1.8e-01,1.0e+00,0.9998,4688,77.3,120.5,147.3,105.9,87.6,46.5
GENE-15126,NO,40.4,36.8,44.1,1.2,0.3,0.35,0.75,4.5e-01,1.0e+00,0.9998,4689,42.6,31.9,35.8,39.6,54.2,38.6
GENE-15128,NO,381.9,355.7,408,1.147,0.2,0.23,0.88,3.8e-01,1.0e+00,0.9998,4690,358.6,373.3,335.3,326.5,430.3,467.2
GENE-15129,NO,34.4,36.4,32.3,0.886,-0.2,0.35,-0.5,6.2e-01,1.0e+00,0.9998,4691,35.7,37.8,35.8,28.7,36.4,31.7
GENE-15133,NO,461.8,471.4,452.2,0.959,-0.1,0.22,-0.28,7.8e-01,1.0e+00,0.9998,4692,468.6,552.5,393,472,426.3,458.2
GENE-15136,NO,537.2,533.4,541,1.014,0,0.3,0.07,9.5e-01,1.0e+00,0.9998,4693,441.8,622.2,536.3,520.5,382,720.5
GENE-15138,NO,42.9,45,40.8,0.907,-0.1,0.38,-0.37,7.1e-01,1.0e+00,0.9998,4694,55.5,40.8,38.8,53.4,40.4,28.7
GENE-15139,NO,1.6,1.7,1.7,0.995,0,1.71,0,1.0e+00,1.0e+00,0.9998,4695,4,0,1,0,3,2
GENE-15141,NO,1.2,1.7,0.7,0.397,-1.3,1.79,-0.75,4.6e-01,1.0e+00,0.9998,4696,1,3,1,1,1,0
GENE-15148,NO,769,787.7,750.2,0.952,-0.1,0.29,-0.25,8.1e-01,1.0e+00,0.9998,4697,726.2,628.1,1008.9,586.7,948.2,715.6
GENE-15163,NO,290.2,304.4,276,0.907,-0.1,0.28,-0.51,6.1e-01,1.0e+00,0.9998,4698,309.1,238.9,365.1,220.6,268.8,338.5
GENE-15164,NO,20.2,22.9,17.4,0.763,-0.4,0.44,-0.88,3.8e-01,1.0e+00,0.9998,4699,18.8,25.9,23.9,15.8,19.7,16.8
GENE-15167,NO,68.3,67.9,68.8,1.014,0,0.44,0.04,9.6e-01,1.0e+00,0.9998,4700,82.2,45.8,75.6,87.1,85.7,33.7
GENE-15169,NO,2446.7,2530.5,2362.8,0.934,-0.1,0.17,-0.58,5.6e-01,1.0e+00,0.9998,4701,2608.5,2569.3,2413.7,2550.8,2161.3,2376.3
GENE-15171,NO,71.9,70.2,73.5,1.046,0.1,0.4,0.16,8.7e-01,1.0e+00,0.9998,4702,50.5,108.5,51.7,94,57.1,69.3
GENE-15172,NO,418.5,424.4,412.6,0.972,0,0.21,-0.19,8.5e-01,1.0e+00,0.9998,4703,368.5,502.7,402,429.4,403.7,404.8
GENE-15176,NO,156.3,158.6,154.1,0.972,0,0.33,-0.13,9.0e-01,1.0e+00,0.9998,4704,208,95.6,172.1,138.5,169.4,154.4
GENE-15177,NO,24.6,22.5,26.7,1.185,0.2,0.43,0.57,5.7e-01,1.0e+00,0.9998,4705,25.8,26.9,14.9,29.7,23.6,26.7
GENE-15182,NO,845.4,932.8,758,0.813,-0.3,0.26,-1.16,2.5e-01,1.0e+00,0.9998,4706,894.6,1158.7,745.2,874.7,616.4,782.9
GENE-15183,NO,54.5,53,56,1.056,0.1,0.35,0.22,8.2e-01,1.0e+00,0.9998,4707,50.5,69.7,38.8,62.3,60.1,45.5
GENE-15184,NO,26.6,24.5,28.7,1.169,0.2,0.41,0.55,5.8e-01,1.0e+00,0.9998,4708,17.8,30.9,24.9,29.7,28.6,27.7
GENE-15187,NO,128,141.1,114.9,0.814,-0.3,0.26,-1.15,2.5e-01,1.0e+00,0.9998,4709,151.6,148.3,123.4,102.9,137.8,103.9
GENE-15189,NO,35.5,33.1,37.8,1.143,0.2,0.35,0.55,5.8e-01,1.0e+00,0.9998,4710,30.7,30.9,37.8,42.5,35.4,35.6
GENE-15193,NO,316.2,284.9,347.5,1.22,0.3,0.28,1.01,3.1e-01,1.0e+00,0.9998,4711,237.8,223,394,363.1,321,358.3
GENE-15195,NO,60.4,58.3,62.6,1.073,0.1,0.31,0.33,7.4e-01,1.0e+00,0.9998,4712,58.5,65.7,50.7,74.2,62,51.5
GENE-15213,NO,3.6,5,2.3,0.463,-1.1,1.12,-0.99,3.2e-01,1.0e+00,0.9998,4713,2,8,5,1,4.9,1
GENE-15218,NO,39.3,37.4,41.2,1.1,0.1,0.33,0.41,6.8e-01,1.0e+00,0.9998,4714,39.6,33.8,38.8,41.6,44.3,37.6
GENE-15219,NO,816.8,779.9,853.6,1.095,0.1,0.21,0.63,5.3e-01,1.0e+00,0.9998,4715,882.7,802.3,654.7,822.2,816.3,922.4
GENE-15225,NO,10.7,10.9,10.5,0.964,-0.1,0.59,-0.09,9.3e-01,1.0e+00,0.9998,4716,10.9,13.9,8,7.9,11.8,11.9
GENE-15234,NO,946.8,1041,852.6,0.819,-0.3,0.22,-1.29,2.0e-01,1.0e+00,0.9998,4717,1114.5,1188.6,819.8,922.2,820.2,815.5
GENE-15236,NO,403.6,395.8,411.3,1.039,0.1,0.19,0.3,7.7e-01,1.0e+00,0.9998,4718,390.3,392.2,404.9,379,404.7,450.3
GENE-15240,NO,919.4,972.4,866.4,0.891,-0.2,0.22,-0.76,4.5e-01,1.0e+00,0.9998,4719,1018.4,924.8,974.1,1037.9,853.7,707.7
GENE-15241,NO,163.8,151,176.5,1.169,0.2,0.22,1.03,3.0e-01,1.0e+00,0.9998,4720,160.5,148.3,144.3,168.2,169.4,192
GENE-15249,NO,25.4,23.5,27.3,1.162,0.2,0.43,0.5,6.2e-01,1.0e+00,0.9998,4721,16.8,26.9,26.9,33.6,27.6,20.8
GENE-15255,NO,79.4,91.8,67.1,0.732,-0.5,0.39,-1.17,2.4e-01,1.0e+00,0.9998,4722,83.2,70.7,121.4,58.4,97.5,45.5
GENE-15258,NO,500.4,539.1,461.7,0.856,-0.2,0.23,-0.96,3.4e-01,1.0e+00,0.9998,4723,426,538.5,652.7,484.8,460.8,439.4
GENE-15259,NO,45.1,54,36.2,0.671,-0.6,0.4,-1.45,1.5e-01,1.0e+00,0.9998,4724,58.5,62.7,40.8,21.8,43.3,43.5
GENE-15261,NO,173.1,179.2,167,0.932,-0.1,0.25,-0.41,6.8e-01,1.0e+00,0.9998,4725,169.4,189.1,179.1,203.8,138.8,158.4
GENE-15264,NO,384.8,314.2,455.4,1.449,0.5,0.38,1.4,1.6e-01,1.0e+00,0.9998,4726,393.3,168.2,381.1,519.5,303.3,543.4
GENE-15265,NO,37.5,38,36.9,0.969,0,0.43,-0.11,9.1e-01,1.0e+00,0.9998,4727,48.5,34.8,30.8,53.4,33.5,23.8
GENE-15279,NO,139.9,156.7,123.2,0.786,-0.3,0.29,-1.19,2.3e-01,1.0e+00,0.9998,4728,156.5,194.1,119.4,148.4,112.2,108.9
GENE-15280,NO,21,19.5,22.4,1.146,0.2,0.53,0.37,7.1e-01,1.0e+00,0.9998,4729,21.8,15.9,20.9,27.7,29.5,9.9
GENE-15286,NO,9.7,10.6,8.9,0.839,-0.3,0.65,-0.39,7.0e-01,1.0e+00,0.9998,4730,9.9,15.9,6,9.9,6.9,9.9
GENE-15287,NO,6.3,6,6.6,1.105,0.1,0.76,0.19,8.5e-01,1.0e+00,0.9998,4731,5.9,5,7,9.9,4.9,4.9
GENE-15289,NO,27.6,24.2,31,1.28,0.4,0.52,0.69,4.9e-01,1.0e+00,0.9998,4732,12.9,17.9,41.8,32.7,24.6,35.6
GENE-15302,NO,6.6,2.7,10.5,3.958,2,3.42,0.58,5.6e-01,1.0e+00,0.9998,4733,0,8,0,1,30.5,0
GENE-15315,NO,110.2,115.6,104.7,0.906,-0.1,0.25,-0.56,5.7e-01,1.0e+00,0.9998,4734,110,108.5,128.3,119.7,93.5,101
GENE-15316,NO,53.3,55,51.7,0.94,-0.1,0.32,-0.28,7.8e-01,1.0e+00,0.9998,4735,59.4,48.8,56.7,41.6,62,51.5
GENE-15317,NO,1239.5,1393.3,1085.7,0.779,-0.4,2.69,-0.13,8.9e-01,1.0e+00,0.9998,4736,3939,232.9,8,751,0,2506
GENE-15326,NO,37.8,39,36.5,0.936,-0.1,0.38,-0.25,8.0e-01,1.0e+00,0.9998,4737,49.5,34.8,32.8,33.6,29.5,46.5
GENE-15327,NO,141.6,135.2,148.1,1.096,0.1,0.3,0.44,6.6e-01,1.0e+00,0.9998,4738,111.9,132.4,161.2,117.7,194,132.6
GENE-15328,NO,2.5,2,3,1.489,0.6,1.34,0.43,6.7e-01,1.0e+00,0.9998,4739,0,1,5,2,3.9,3
GENE-15334,NO,4.8,6.6,3,0.447,-1.2,0.9,-1.29,2.0e-01,1.0e+00,0.9998,4740,8.9,5,6,2,4.9,2
GENE-15337,NO,167.4,160,174.9,1.093,0.1,0.21,0.6,5.5e-01,1.0e+00,0.9998,4741,164.5,162.3,153.2,165.2,172.3,187.1
GENE-15345,NO,563.6,544.5,582.8,1.07,0.1,0.26,0.38,7.0e-01,1.0e+00,0.9998,4742,579.6,455.9,598,699.5,438.2,610.7
GENE-15347,NO,33.9,36.4,31.3,0.859,-0.2,0.35,-0.62,5.3e-01,1.0e+00,0.9998,4743,35.7,40.8,32.8,28.7,31.5,33.7
GENE-15349,NO,217.5,225.2,209.8,0.932,-0.1,0.24,-0.43,6.6e-01,1.0e+00,0.9998,4744,268.5,216,191,192,220.6,216.8
GENE-15352,NO,4.8,4,5.6,1.408,0.5,0.88,0.56,5.8e-01,1.0e+00,0.9998,4745,2,3,7,4.9,4.9,6.9
GENE-15353,NO,10.1,10.3,9.9,0.962,-0.1,0.58,-0.09,9.2e-01,1.0e+00,0.9998,4746,10.9,9,10.9,10.9,8.9,9.9
GENE-15355,NO,32.8,25.2,40.5,1.609,0.7,0.42,1.65,9.9e-02,1.0e+00,0.9998,4747,34.7,15.9,24.9,42.5,45.3,33.7
GENE-15358,NO,23.9,23.2,24.7,1.065,0.1,0.41,0.22,8.2e-01,1.0e+00,0.9998,4748,23.8,21.9,23.9,20.8,28.6,24.7
GENE-15362,NO,92.9,88.5,97.4,1.102,0.1,0.27,0.51,6.1e-01,1.0e+00,0.9998,4749,80.2,98.6,86.6,81.1,115.2,96
GENE-15363,NO,371,337.2,404.8,1.2,0.3,0.39,0.68,4.9e-01,1.0e+00,0.9998,4750,318,309.6,384,434.4,585.9,194
GENE-15364,NO,14,11.2,16.8,1.492,0.6,0.56,1.03,3.0e-01,1.0e+00,0.9998,4751,16.8,7,9.9,19.8,16.7,13.9
GENE-15370,NO,35.2,30.5,39.8,1.307,0.4,0.42,0.92,3.6e-01,1.0e+00,0.9998,4752,17.8,42.8,30.8,37.6,45.3,36.6
GENE-15372,NO,138.2,143.1,133.4,0.932,-0.1,0.26,-0.4,6.9e-01,1.0e+00,0.9998,4753,142.7,119.5,167.2,126.7,122.1,151.4
GENE-15377,NO,13,13.3,12.9,0.969,0,0.53,-0.08,9.3e-01,1.0e+00,0.9998,4754,14.9,10,14.9,13.9,12.8,11.9
GENE-15378,NO,12.5,11.6,13.5,1.164,0.2,0.55,0.4,6.9e-01,1.0e+00,0.9998,4755,10.9,10,13.9,14.8,15.8,9.9
GENE-15387,NO,67.4,64,70.8,1.108,0.1,0.29,0.52,6.1e-01,1.0e+00,0.9998,4756,57.5,71.7,62.7,77.2,62,73.2
GENE-15400,NO,378.1,394.2,362.1,0.919,-0.1,0.24,-0.51,6.1e-01,1.0e+00,0.9998,4757,390.3,382.3,409.9,302.8,457.9,325.6
GENE-15405,NO,1.5,1,2,1.992,1,1.83,0.54,5.9e-01,1.0e+00,0.9998,4758,2,0,1,0,1,4.9
GENE-15407,NO,1507.4,1222.1,1792.6,1.467,0.6,0.88,0.63,5.3e-01,1.0e+00,0.9998,4759,977.8,2261.7,426.8,3273.1,1423.8,680.9
GENE-15412,NO,47.9,43,52.7,1.224,0.3,0.32,0.91,3.6e-01,1.0e+00,0.9998,4760,50.5,35.8,42.8,51.5,55.1,51.5
GENE-15414,NO,136.4,138.8,134,0.966,-0.1,0.23,-0.22,8.2e-01,1.0e+00,0.9998,4761,146.6,142.4,127.4,130.6,129,142.5
GENE-15417,NO,3.8,4.6,3,0.639,-0.6,1.01,-0.64,5.2e-01,1.0e+00,0.9998,4762,6.9,3,4,4.9,3,1
GENE-15418,NO,137.6,146,129.2,0.884,-0.2,0.32,-0.55,5.8e-01,1.0e+00,0.9998,4763,169.4,107.5,161.2,162.3,92.6,132.6
GENE-15419,NO,245.8,232.8,258.8,1.112,0.2,0.23,0.66,5.1e-01,1.0e+00,0.9998,4764,255.6,235.9,206.9,215.7,288.5,272.2
GENE-15427,NO,2.3,2,2.7,1.325,0.4,1.23,0.33,7.4e-01,1.0e+00,0.9998,4765,1,1,4,2,3,3
GENE-15429,NO,11.1,11.3,10.9,0.965,-0.1,0.6,-0.09,9.3e-01,1.0e+00,0.9998,4766,12.9,13.9,7,7.9,12.8,11.9
GENE-15431,NO,179,174.5,183.5,1.051,0.1,0.22,0.32,7.5e-01,1.0e+00,0.9998,4767,193.2,152.3,178.1,181.1,175.3,194
GENE-15432,NO,411,445.4,376.7,0.846,-0.2,0.58,-0.42,6.8e-01,1.0e+00,0.9998,4768,746,131.4,458.7,560,402.7,167.3
GENE-15433,NO,4067.4,4079.4,4055.4,0.994,0,0.24,-0.04,9.7e-01,1.0e+00,0.9998,4769,3555.6,5216.2,3466.4,4279.4,4251.6,3635.3
